WKT,name,description
"LINESTRING (36.428949 50.183169, 36.4263737 50.1690969, 36.4128988 50.162774, 36.4079201 50.1721206, 36.418048 50.184158, 36.417362 50.176353, 36.418048 50.184158, 36.408435 50.179981, 36.418048 50.184158)",Russian Attack, Repelled,Russian Attack, Repelled,It led offensive battles in the Borshchova region, was unsuccessful, left.
"LINESTRING (37.205606 49.040848, 37.167842 49.03691, 37.18106 49.043324, 37.167842 49.03691, 37.182089 49.033534, 37.167842 49.03691)",Russian Attack,In the vicinity of Novodmytrivka, Virnopilla and Kurulka, enemy units tried to conduct assaults, were repulsed and retreated. The occupiers waged offensive battles in the directions Brazhkivka - Novodmytrivka, Sulygivka - Novodmytrivka, Brazhkivka - Virnopilla and Dovhenke - Kurulka. As a result, our soldiers inflicted losses on the enemy and pushed them back.
"LINESTRING (37.191338 49.03511, 37.171425 49.005953, 37.184643 49.012709, 37.171425 49.005953, 37.17091 49.01665, 37.171425 49.005953)",Russian Attack,In the vicinity of Novodmytrivka, Virnopilla and Kurulka, enemy units tried to conduct assaults, were repulsed and retreated. The occupiers waged offensive battles in the directions Brazhkivka - Novodmytrivka, Sulygivka - Novodmytrivka, Brazhkivka - Virnopilla and Dovhenke - Kurulka. As a result, our soldiers inflicted losses on the enemy and pushed them back. Tried to conduct assault operations in the directions Brazhkivka - Nova Dmytrivka and Sulyhivka - Nova Dmytrivka. Suffered losses and retreated.
"LINESTRING (37.23626 49.020885, 37.218914 48.994078, 37.217197 49.00489, 37.218914 48.994078, 37.23196 49.000779, 37.218914 48.994078)",Russian Attack,In the vicinity of Novodmytrivka, Virnopilla and Kurulka, enemy units tried to conduct assaults, were repulsed and retreated. The occupiers waged offensive battles in the directions Brazhkivka - Novodmytrivka, Sulygivka - Novodmytrivka, Brazhkivka - Virnopilla and Dovhenke - Kurulka. As a result, our soldiers inflicted losses on the enemy and pushed them back. Tried to conduct assault operations in the directions Brazhkivka - Nova Dmytrivka and Sulyhivka - Nova Dmytrivka. Suffered losses and retreated.
"LINESTRING (37.308672 49.011695, 37.286528 48.982412, 37.28567 48.993677, 37.286528 48.982412, 37.300604 48.988552, 37.286528 48.982412)",Russian Attack,In the vicinity of Novodmytrivka, Virnopilla and Kurulka, enemy units tried to conduct assaults, were repulsed and retreated. The occupiers waged offensive battles in the directions Brazhkivka - Novodmytrivka, Sulygivka - Novodmytrivka, Brazhkivka - Virnopilla and Dovhenke - Kurulka. As a result, our soldiers inflicted losses on the enemy and pushed them back. Tried to conduct assault operations in the directions Brazhkivka - Nova Dmytrivka and Sulyhivka - Nova Dmytrivka. Suffered losses and retreated.
"LINESTRING (37.470631 49.043774, 37.491402 49.02543, 37.489557 49.034631, 37.491402 49.02543, 37.478527 49.029594, 37.491402 49.02543)",Russian Attack,The enemy carried out combat reconnaissance in the direction of Pasika - Bohrodychne, was unsuccessful, withdrew.
"LINESTRING (38.239689 48.807696, 38.218317 48.810635, 38.227672 48.812048, 38.218317 48.810635, 38.225784 48.806622, 38.218317 48.810635)",Russian Attack,Near Ivano-Daryivka, it is trying to launch an offensive, hostilities continue.The invaders tried to launch an offensive in the direction of Spirne - Ivano-Daryivka and Mykolaivka - Vyimka, without success.
"LINESTRING (38.212738 48.79017, 38.205185 48.80747, 38.213253 48.802552, 38.205185 48.80747, 38.202782 48.80063, 38.205185 48.80747)",Russian Attack,It led an offensive in the direction of Berestove - Ivano-Daryivka, but was unsuccessful.
"LINESTRING (38.187718 48.786296, 38.167291 48.798396, 38.178706 48.796785, 38.167291 48.798396, 38.17111 48.790876, 38.167291 48.798396)",Russian Attack,Near Ivano-Daryivka, it is trying to launch an offensive, hostilities continue.The invaders tried to launch an offensive in the direction of Spirne - Ivano-Daryivka and Mykolaivka - Vyimka, without success.
"LINESTRING (38.184632 48.713582, 38.152017 48.726945, 38.168754 48.726662, 38.152017 48.726945, 38.15957 48.717376, 38.152017 48.726945)",Russian Attack,
"LINESTRING (38.167728 48.689808, 38.146034 48.710952, 38.161033 48.70618, 38.146034 48.710952, 38.147558 48.700119, 38.146034 48.710952)",Russian Attack,
"LINESTRING (38.140142 48.68496, 38.106496 48.681559, 38.117225 48.687453, 38.106496 48.681559, 38.119156 48.678131, 38.106496 48.681559)",Russian Attack,With offensive and assault actions, the occupiers tried to improve the tactical position in the directions of Stryapivka - Soledar, Pokrovske - Bakhmutske, Pokrovske - Bakhmut, Vershyna - Zaitseve, Vershyna - Kodema, Travneve - Zaitseve, Travneve - Kodema, Semyhirya - Zaytseve, Hladosove - Kodema, success did not have, received a harsh rebuff.
